Uploaded On,Agency,Description of Requirements,Value,Award Type,Award Status,Procurement Identifier,Modification Number,Reason for Modification,Date Signed,Agency ID,Office ID,Office Name,Vendor ID,Vendor Legal Business Name,Vendor Congressional District,Vendor Zip+4,Vendor Business Types,Vendor Socio-Economic Data,Vendor Certifications,Product/Service Code,Product/Service Description,NAICS Code,NAICS Description,FPDS Source Link
2/14/25,CONSUMER FINANCIAL PROTECTION BUREAU,Access to Wiley Publication Journals,"$80,383 ",Definitive Contract,Final,20343021C00001,P00007,EXERCISE AN OPTION,12/30/24,2036,203430,ARC DIV PROC SVCS - CFPB,MC59TD7UK9G8,"COX SUBSCRIPTIONS, INC.",NORTH CAROLINA 07,284704441,"Corporate Entity, Not Tax Exempt",,,7630,NEWSPAPERS AND PERIODICALS,519130,INTERNET PUBLISHING AND BROADCASTING AND W,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343021C00001&modNumber=P00007&idvAgencyID=&idvPIID=&contractType=AWARD
2/14/25,CONSUMER FINANCIAL PROTECTION BUREAU,Exceed on Demand License Renewal,"$79,874 ",Delivery/Task Order,Final,20343023F00033,P00002,EXERCISE AN OPTION,3/27/24,2036,203430,ARC DIV PROC SVCS - CFPB,QGAAEMCMJXQ7,REDHAWK IT SOLUTIONS LLC,VIRGINIA 07,221923826,Partnership or Limited Liability Partnership,"Minority-Owned Business
Service-Disabled Veteran-Owned Business
Veteran-Owned Business","SBA Certified 8(a) Program Participant
DoT Certified Disadvantaged Business Enterprise
Self-Certified Small Disadvantaged Business",7A21,IT AND TELECOM - BUSINESS APPLICATION SOFTWA,541519,OTHER COMPUTER RELATED SERVICES,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343023F00033&modNumber=P00002&idvAgencyID=&idvPIID=NNG15SD38B&contractType=AWARD
2/14/25,CONSUMER FINANCIAL PROTECTION BUREAU,Expert Contract - RM - RJ,"$79,800 ",Definitive Contract,Final,955F9531CB25C0002,0,,11/13/24,955F,9531CB,CONSUMER FINANCE PROTECTION BUREA,KA5HQCLKUVW1,DOMESTIC AWARDEES (UNDISCLOSED,98,204050001,,,,R424,SUPPORT- PROFESSIONAL: EXPERT WITNESS,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MAN,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB25C0002&modNumber=0&idvAgencyID=&idvPIID=&contractType=AWARD
2/14/25,CONSUMER FINANCIAL PROTECTION BUREAU,The Economist Subscription- Option Period 4,"$77,777 ",Delivery/Task Order,Final,20343021F00006,P00009,EXERCISE AN OPTION,12/12/24,2036,203430,ARC DIV PROC SVCS - CFPB,JBMWBGN1Z719,"ECONOMIST INTELLIGENCE UNIT, NA,",NEW YORK 10,100172723,"Corporate Entity, Not Tax Exempt",,,7630,NEWSPAPERS AND PERIODICALS,519190,ALL OTHER INFORMATION SERVICES,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343021F00006&modNumber=P00009&idvAgencyID=&idvPIID=03310319D0022&contractType=AWARD
2/14/25,CONSUMER FINANCIAL PROTECTION BUREAU,"BPA Call for EEO Counseling Services - Modification to exercise
option year","$77,393 ",BPA Call,Final,955F9531CB24F0022,P00002,EXERCISE AN OPTION,1/15/25,955F,9531CB,CONSUMER FINANCE PROTECTION BUREA,Z5JRUCEQJNH8,CROSSROADS MEDIATION SERVICES,VIRGINIA 10,201105038,"Corporate Entity, Not Tax Exempt","Women-Owned Business
Women-Owned Small Business",,R431,SUPPORT- PROFESSIONAL: HUMAN RESOURCES,561611,INVESTIGATION AND PERSONAL BACKGROUND CHE,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB24F0022&modNumber=P00002&idvAgencyID=&idvPIID=9531CB22A0012&contractType=AWARD
2/14/25,CONSUMER FINANCIAL PROTECTION BUREAU,RStudio Server Pro Maintenance Renewal,"$72,546 ",Delivery/Task Order,Final,20343024F00046,0,,7/11/24,2036,203430,ARC DIV PROC SVCS - CFPB,UYLVJZ49BFC6,"4 STAR TECHNOLOGIES, INC.",VIRGINIA 02,234515898,"Corporate Entity, Not Tax Exempt
Subchapter S Corporation
For Profit Organization","Service-Disabled Veteran-Owned Business
Veteran-Owned Business",SBA Certified HUBZone Firm,7A20,IT AND TELECOM - APPLICATION DEVELOPMENT SOF,541519,OTHER COMPUTER RELATED SERVICES,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343024F00046&modNumber=0&idvAgencyID=&idvPIID=NNG15SD06B&contractType=AWARD
2/14/25,CONSUMER FINANCIAL PROTECTION BUREAU,Expert for CFPB - modification to update COR,"$69,800 ",Definitive Contract,Final,955F9531CB23C0009,P00001,OTHER ADMINISTRATIVE ACTION,9/26/24,955F,9531CB,CONSUMER FINANCE PROTECTION BUREA,KA5HQCLKUVW1,DOMESTIC AWARDEES (UNDISCLOSED,98,204050001,For Profit Organization,,,R424,SUPPORT- PROFESSIONAL: EXPERT WITNESS,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MAN,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB23C0009&modNumber=P00001&idvAgencyID=&idvPIID=&contractType=AWARD
2/14/25,CONSUMER FINANCIAL PROTECTION BUREAU,SafeConsole Licenses,"$67,168 ",Delivery/Task Order,Final,955F9531CB25F0026,0,,1/6/25,955F,9531CB,CONSUMER FINANCE PROTECTION BUREA,EJJMMJHYDFH6,SOFTWARE INFORMATION RESOURCE,DISTRICT OF COLUMBIA 98,200372500,"Corporate Entity, Not Tax Exempt","Minority-Owned Business
Subcontinent Asian (Asian-Indian) American Owned
Women-Owned Business
Women-Owned Small Business",Self-Certified Small Disadvantaged Business,7A21,IT AND TELECOM - BUSINESS APPLICATION SOFTWA,541519,OTHER COMPUTER RELATED SERVICES,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB25F0026&modNumber=0&idvAgencyID=&idvPIID=NNG15SD74B&contractType=AWARD
2/14/25,CONSUMER FINANCIAL PROTECTION BUREAU,CFPB Expert Witness - modification to update COR,"$65,676 ",Definitive Contract,Final,955F 9531CB24C0018,P00001,OTHER ADMINISTRATIVE ACTION,9/27/24,955F,9531CB,CONSUMER FINANCE PROTECTION BUREA,FNYSF7X4ELS5,SUMMIT CONSULTING LLC,DISTRICT OF COLUMBIA 98,200013713,"Corporate Entity, Not Tax Exempt","Minority-Owned Business
Asian-Pacific American Owned","Self-Certified Small Disadvantaged Business
Self-Certified HUBZone Joint Venture",R424,SUPPORT- PROFESSIONAL: EXPERT WITNESS,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MAN,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB24C0018&modNumber=P00001&idvAgencyID=&idvPIID=&contractType=AWARD
2/14/25,CONSUMER FINANCIAL PROTECTION BUREAU,CFPB Expert - modification to update COR,"$64,110 ",Definitive Contract,Final,955F9531CB24C0016,P00001,OTHER ADMINISTRATIVE ACTION,9/27/24,955F,9531CB,CONSUMER FINANCE PROTECTION BUREA,HAD6AMYG2FG5,GUPTA WESSLER LLP,98,200061064,Partnership or Limited Liability Partnership,,,R424,SUPPORT- PROFESSIONAL: EXPERT WITNESS,541990,"ALL OTHER PROFESSIONAL, SCIENTIFIC, AND TECHN",https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB24C0016&modNumber=P00001&idvAgencyID=&idvPIID=&contractType=AWARD
2/14/25,CONSUMER FINANCIAL PROTECTION BUREAU,VirusTotal Basic Subscription,"$62,956 ",Delivery/Task Order,Final,955F9531CB22F0073,P00002,EXERCISE AN OPTION,3/4/24,955F,9531CB,CONSUMER FINANCE PROTECTION BUREA,EJJMMJHYDFH6,SOFTWARE INFORMATION RESOURCE,DISTRICT OF COLUMBIA 98,200372500,"Corporate Entity, Not Tax Exempt","Minority-Owned Business
Subcontinent Asian (Asian-Indian) American Owned
Women-Owned Business
Women-Owned Small Business",Self-Certified Small Disadvantaged Business,7A20,IT AND TELECOM - APPLICATION DEVELOPMENT SOF,541519,OTHER COMPUTER RELATED SERVICES,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB22F0073&modNumber=P00002&idvAgencyID=&idvPIID=NNG15SD74B&contractType=AWARD
2/14/25,CONSUMER FINANCIAL PROTECTION BUREAU,Accellion Kiteworks Enterprise- Additional Licenses MFT CLient,"$62,420 ",Delivery/Task Order,Final,20343024F00044,P00003,SUPPLEMENTAL AGREEMENT FOR WORK WITHIN SCOPE,11/19/24,2036,203430,ARC DIV PROC SVCS - CFPB,JMVMGGNJGA29,"GOVPLACE, INC.",MARYLAND 08,208143202,"Corporate Entity, Not Tax Exempt",,,7A21,IT AND TELECOM - BUSINESS APPLICATION SOFTWA,541519,OTHER COMPUTER RELATED SERVICES,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343024F00044&modNumber=P00003&idvAgencyID=&idvPIID=NNG15SC77B&contractType=AWARD
2/14/25,CONSUMER FINANCIAL PROTECTION BUREAU,Option Year One CyberFeds Licenses,"$58,370 ",Delivery/Task Order,Final,955F9531CB23F0038,P00002,EXERCISE AN OPTION,3/20/24,955F,9531CB,CONSUMER FINANCE PROTECTION BUREA,UCMPFP9EH2R5,"LRP PUBLICATIONS, INC.",FLORIDA 21,334187106,"Corporate Entity, Not Tax Exempt",,,7610,BOOKS AND PAMPHLETS,541519,OTHER COMPUTER RELATED SERVICES,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB23F0038&modNumber=P00002&idvAgencyID=&idvPIID=47QTCA20D002P&contractType=AWARD
2/14/25,CONSUMER FINANCIAL PROTECTION BUREAU,Avenir Next Font License - Option Periods Removal,"$56,710 ",Delivery/Task Order,Final,955F9531CB24F0077,P00001,SUPPLEMENTAL AGREEMENT FOR WORK WITHIN SCOPE,9/12/24,955F,9531CB,CONSUMER FINANCE PROTECTION BUREA,FBRMCGPMN963,ENTERPRISE TECHNOLOGY SOLUTION,MARYLAND 04,207401346,"Corporate Entity, Not Tax Exempt","Minority-Owned Business
Subcontinent Asian (Asian-Indian) American Owned
Women-Owned Business
Women-Owned Small Business",SBA Certified HUBZone Firm,7A21,IT AND TELECOM - BUSINESS APPLICATION SOFTWA,541519,OTHER COMPUTER RELATED SERVICES,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB24F0077&modNumber=P00001&idvAgencyID=&idvPIID=NNG15SD76B&contractType=AWARD
2/14/25,CONSUMER FINANCIAL PROTECTION BUREAU,Copier Lease,"$55,980 ",BPA Call,Final,955F9531CB24F0034,P00001,OTHER ADMINISTRATIVE ACTION,4/16/24,955F,9531CB,CONSUMER FINANCE PROTECTION BUREA,CM3CXMWM13T5,JTF BUSINESS SYSTEMS INC,VIRGINIA 11,221503600,"Corporate Entity, Not Tax Exempt",,,W074,LEASE OR RENTAL OF EQUIPMENT- OFFICE MACHIN,323113,COMMERCIAL SCREEN PRINTING,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB24F0034&modNumber=P00001&idvAgencyID=&idvPIID=9531CB22A0011&contractType=AWARD
2/14/25,CONSUMER FINANCIAL PROTECTION BUREAU,CFPB Expert,"$54,375 ",Definitive Contract,Final,955F9531CB24C0003,0,,1/30/24,955F,9531CB,CONSUMER FINANCE PROTECTION BUREA,UASJXMTACK83,ANDREAMM LLC,98,200014928,"Corporate Entity, Not Tax Exempt",Women-Owned Business,,R424,SUPPORT- PROFESSIONAL: EXPERT WITNESS,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MAN,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB24C0003&modNumber=0&idvAgencyID=&idvPIID=&contractType=AWARD
2/14/25,CONSUMER FINANCIAL PROTECTION BUREAU,LinkedIn Learning licenses,"$52,866 ",Delivery/Task Order,Final,955F9531CB24F0045,0,,3/27/24,955F,9531CB,CONSUMER FINANCE PROTECTION BUREA,DT8KJHZXVJH5,CARAHSOFT TECHNOLOGY CORP.,VIRGINIA 11,201905230,"Corporate Entity, Not Tax Exempt",,,7A21,IT AND TELECOM - BUSINESS APPLICATION SOFTWA,511210,SOFTWARE PUBLISHERS,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB24F0045&modNumber=0&idvAgencyID=&idvPIID=47QSWA18D008F&contractType=AWARD
2/14/25,CONSUMER FINANCIAL PROTECTION BUREAU,2024 CRA & Fair Lending Colloquium,"$51,502 ",Purchase Order,Final,955F9531CB25P0007,0,,12/17/24,955F,9531CB,CONSUMER FINANCE PROTECTION BUREA,DUV2C6GUNKM6,"CITIBANK, N.A.",SOUTH DAKOTA 00,571085027,"Corporate Entity, Not Tax Exempt",,,U009,EDUCATION/TRAINING- GENERAL,611430,PROFESSIONAL AND MANAGEMENT DEVELOPMENT,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB25P0007&modNumber=0&idvAgencyID=&idvPIID=&contractType=AWARD
2/14/25,CONSUMER FINANCIAL PROTECTION BUREAU,SecureAuth IDP License Renewal,"$49,667 ",Delivery/Task Order,Final,20343024F00051,P00001,OTHER ADMINISTRATIVE ACTION,8/14/24,2036,203430,ARC DIV PROC SVCS - CFPB,MDC5LDZKQAM4,BLUE TECH INC.,CALIFORNIA 50,921105167,"Corporate Entity, Not Tax Exempt","Women-Owned Business
Women-Owned Small Business","SBA Certified HUBZone Firm
Self-Certified Small Disadvantaged Business",7A20,IT AND TELECOM - APPLICATION DEVELOPMENT SOF,541519,OTHER COMPUTER RELATED SERVICES,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343024F00051&modNumber=P00001&idvAgencyID=&idvPIID=NNG15SD00B&contractType=AWARD
2/14/25,CONSUMER FINANCIAL PROTECTION BUREAU,ScanWriter Software License and Maintenance,"$49,586 ",Delivery/Task Order,Final,2036 20343022F00040,P00003,EXERCISE AN OPTION,4/18/24,2036,203430,ARC DIV PROC SVCS - CFPB,EN59W2CED1A5,"PERSONABLE.COM, INC.",CALIFORNIA 45,927084220,"Corporate Entity, Not Tax Exempt","Minority-Owned Business
Asian-Pacific American Owned",Self-Certified Small Disadvantaged Business,7A21,IT AND TELECOM - BUSINESS APPLICATION SOFTWA,511210,SOFTWARE PUBLISHERS,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343022F00040&modNumber=P00003&idvAgencyID=&idvPIID=47QTCA18D005U&contractType=AWARD
2/14/25,CONSUMER FINANCIAL PROTECTION BUREAU,CFPB Expert,"$48,700 ",Definitive Contract,Final,955F9531CB24C0006,0,,2/1/24,955F,9531CB,CONSUMER FINANCE PROTECTION BUREA,KA5HQCLKUVW1,DOMESTIC AWARDEES (UNDISCLOSED,98,204050001,,,,R424,SUPPORT- PROFESSIONAL: EXPERT WITNESS,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MAN,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB24C0006&modNumber=0&idvAgencyID=&idvPIID=&contractType=AWARD
2/14/25,CONSUMER FINANCIAL PROTECTION BUREAU,Testifying Expert - add funding,"$46,800 ",Definitive Contract,Final,955F9531CB22C0010,P00001,FUNDING ONLY ACTION,11/29/22,955F,9531CB,CONSUMER FINANCE PROTECTION BUREA,FQBKJPMDGK43,CE FORWARD INC,WASHINGTON 07,980269225,"Corporate Entity, Not Tax Exempt","Minority-Owned Business
Women-Owned Business
Women-Owned Small Business",Self-Certified Small Disadvantaged Business,R424,SUPPORT- PROFESSIONAL: EXPERT WITNESS,541199,ALL OTHER LEGAL SERVICES,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB22C0010&modNumber=P00001&idvAgencyID=&idvPIID=&contractType=AWARD
2/14/25,CONSUMER FINANCIAL PROTECTION BUREAU,JIRA Licenses,"$43,850 ",Delivery/Task Order,Final,9531CB25F0014,0,,11/27/24,955F,9531CB,CONSUMER FINANCE PROTECTION BUREA,HQAJMSZDK666,"ARCHITECHTURE SOLUTIONS, LLC",VIRGINIA 11,220300972,Partnership or Limited Liability Partnership,"Asian-Pacific American Owned
Service-Disabled Veteran-Owned Business
Veteran-Owned Business",Self-Certified Small Disadvantaged Business,7A21,IT AND TELECOM - BUSINESS APPLICATION SOFTWA,541519,OTHER COMPUTER RELATED SERVICES,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB25F0014&modNumber=0&idvAgencyID=&idvPIID=NNG15SD42B&contractType=AWARD
2/14/25,CONSUMER FINANCIAL PROTECTION BUREAU,Dell PowerEdge Server Maintenance,"$41,901 ",Delivery/Task Order,Final,2036 20343024F00017,P00002,EXERCISE AN OPTION,2/26/25,2036,203430,ARC DIV PROC SVCS - CFPB,DJJ8LJTNK156,TECHANAX LLC,VIRGINIA 07,221931471,"Corporate Entity, Not Tax Exempt
Limited Liability Corporation","Service-Disabled Veteran-Owned Business
Veteran-Owned Business",,7B22,IT AND TELECOM - COMPUTE: SERVERS (HARDWARE,541519,OTHER COMPUTER RELATED SERVICES,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343024F00017&modNumber=P00002&idvAgencyID=&idvPIID=NNG15SD24B&contractType=AWARD
2/14/25,CONSUMER FINANCIAL PROTECTION BUREAU,SQL Training,"$40,810 ",Delivery/Task Order,Final,955F9531CB24F0083,0,,8/27/24,955F,9531CB,CONSUMER FINANCE PROTECTION BUREA,C9NWN3MNZW17,"BEACON TRAINING SERVICES, INC.",TEXAS 24,750803924,"Corporate Entity, Not Tax Exempt","Women-Owned Business
Women-Owned Small Business
For Profit Organization
Subchapter S Corporation",SBA-Certified Women-Owned Small Business,U009,EDUCATION/TRAINING- GENERAL,611430,PROFESSIONAL AND MANAGEMENT DEVELOPMENT,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB24F0083&modNumber=0&idvAgencyID=&idvPIID=47QREA24D000E&contractType=AWARD
2/14/25,CONSUMER FINANCIAL PROTECTION BUREAU,EEO Investigations BPA Call,"$40,000 ",BPA Call,Final,955F9531CB25F0017,0,,2/3/25,955F,9531CB,CONSUMER FINANCE PROTECTION BUREA,N785L93QPC86,S J BASHEN INC.,TEXAS 38,770245426,"Corporate Entity, Not Tax Exempt","Minority-Owned Business
Black American Owned
Women-Owned Business
Women-Owned Small Business",Self-Certified Small Disadvantaged Business,R431,SUPPORT- PROFESSIONAL: HUMAN RESOURCES,561611,INVESTIGATION AND PERSONAL BACKGROUND CHE,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB25F0017&modNumber=0&idvAgencyID=&idvPIID=9531CB25A0006&contractType=AWARD
2/14/25,CONSUMER FINANCIAL PROTECTION BUREAU,IT Device Destruction,"$39,000 ",Delivery/Task Order,Final,2036 20343024F00057,P00001,OTHER ADMINISTRATIVE ACTION,12/19/24,2036,203430,ARC DIV PROC SVCS - CFPB,GGSGJDJUPE53,GIGABITER LLC,PENNSYLVANIA 04,195128957,"Corporate Entity, Not Tax Exempt","Women-Owned Business
Women-Owned Small Business",,K075,MODIFICATION OF EQUIPMENT- OFFICE SUPPLIES A,561990,ALL OTHER SUPPORT SERVICES,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343024F00057&modNumber=P00001&idvAgencyID=&idvPIID=GS03F0096U&contractType=AWARD
2/14/25,CONSUMER FINANCIAL PROTECTION BUREAU,"Design, Development, and Hosting of Learning Modules","$38,648 ",Delivery/Task Order,Final,955F9531CB24F0018,P00001,OTHER ADMINISTRATIVE ACTION,10/31/24,955F,9531CB,CONSUMER FINANCE PROTECTION BUREA,DT2CKKUYPGM1,WORLD INSTITUTE OF LEADERSHIP &,MARYLAND 08,208544103,"Corporate Entity, Not Tax Exempt","Women-Owned Business
Women-Owned Small Business
For Profit Organization
Subchapter S Corporation",,R499,SUPPORT- PROFESSIONAL: OTHER,611710,EDUCATIONAL SUPPORT SERVICES,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB24F0018&modNumber=P00001&idvAgencyID=&idvPIID=GS02F0111U&contractType=AWARD
2/14/25,CONSUMER FINANCIAL PROTECTION BUREAU,Testifying Expert - modification to update COR,"$38,375 ",Definitive Contract,Final,955F9531CB22C0015,P00002,OTHER ADMINISTRATIVE ACTION,9/24/24,955F,9531CB,CONSUMER FINANCE PROTECTION BUREA,PSF9MJ1YM6G7,"NATIONAL CONSUMER LAW CENTER, I",MASSACHUSETTS 08,021101006,"Corporate Entity, Tax Exempt",,,R424,SUPPORT- PROFESSIONAL: EXPERT WITNESS,541199,ALL OTHER LEGAL SERVICES,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB22C0015&modNumber=P00002&idvAgencyID=&idvPIID=&contractType=AWARD
2/14/25,CONSUMER FINANCIAL PROTECTION BUREAU,"Furniture, Fixture & Equipment - Bi-Lateral Mod to extend BPA Call
(Limit 250 characters)
9531CB25AF0005 until 09/30/2025","$36,705 ",BPA Call,Final,955F9531CB25F0005,P00001,SUPPLEMENTAL AGREEMENT FOR WORK WITHIN SCOPE,1/21/25,955F,9531CB,CONSUMER FINANCE PROTECTION BUREA,VJFFZMUMTZD6,"HENRICKSEN DC, LLC",DISTRICT OF COLUMBIA 98,200062422,"Corporate Entity, Not Tax Exempt, Limited Liability Corporation",,,7290,MISCELLANEOUS HOUSEHOLD AND COMMERCIAL FU,337214,OFFICE FURNITURE (EXCEPT WOOD) MANUFACTUR,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB25F0005&modNumber=P00001&idvAgencyID=&idvPIID=9531CB25A0004&contractType=AWARD
2/14/25,CONSUMER FINANCIAL PROTECTION BUREAU,Testifying Expert - admin mod,"$35,800 ",Definitive Contract,Final,955F9531CB22C0026,P00002,OTHER ADMINISTRATIVE ACTION,7/26/23,955F,9531CB,CONSUMER FINANCE PROTECTION BUREA,KA5HQCLKUVW1,DOMESTIC AWARDEES (UNDISCLOSED,98,204050001,For Profit Organization,,,R424,SUPPORT- PROFESSIONAL: EXPERT WITNESS,541199,ALL OTHER LEGAL SERVICES,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB22C0026&modNumber=P00002&idvAgencyID=&idvPIID=&contractType=AWARD
2/14/25,CONSUMER FINANCIAL PROTECTION BUREAU,Testing Expert,"$35,750 ",Definitive Contract,Final,955F 9531CB23C0007,0,,2/22/23,955F,9531CB,CONSUMER FINANCE PROTECTION BUREA,QL1MLKNWX3R3,"HASTAK, MANOJ",VIRGINIA 10,201702561,Sole Proprietorship,"Minority-Owned Business
Subcontinent Asian (Asian-Indian) American Owned",Self-Certified Small Disadvantaged Business,R424,SUPPORT- PROFESSIONAL: EXPERT WITNESS,541990,"ALL OTHER PROFESSIONAL, SCIENTIFIC, AND TECHN",https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB23C0007&modNumber=0&idvAgencyID=&idvPIID=&contractType=AWARD
2/14/25,CONSUMER FINANCIAL PROTECTION BUREAU,FY2024 General Office Supplies,"$35,000 ",Purchase Order,Final,20343024P00004,0,,7/16/24,2036,203430,ARC DIV PROC SVCS - CFPB,KJVWJ75FBTT9,WINSTON-SALEM INDUSTRIES FOR TH,NORTH CAROLINA 05,271063310,"Corporate Entity, Tax Exempt","Non Profit Organization
The AbilityOne Program",,7510,OFFICE SUPPLIES,459410,OFFICE SUPPLIES AND STATIONERY RETAILERS,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343024P00004&modNumber=0&idvAgencyID=&idvPIID=&contractType=AWARD
2/14/25,CONSUMER FINANCIAL PROTECTION BUREAU,Purchase Order for Business Travel Accident Insurance,"$34,500 ",Purchase Order,Final,955F9531CB25P0015,0,,12/20/24,955F,9531CB,CONSUMER FINANCE PROTECTION BUREA,XN1CSKV5KNR8,METROPOLITAN LIFE INSURANCE CO,NEW YORK 12,101660005,"Corporate Entity, Not Tax Exempt",,,G009,SOCIAL- NON-GOVERNMENT INSURANCE PROGRAM,524114,DIRECT HEALTH AND MEDICAL INSURANCE CARRIER,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB25P0015&modNumber=0&idvAgencyID=&idvPIID=&contractType=AWARD
2/14/25,CONSUMER FINANCIAL PROTECTION BUREAU,Personal Assistant Services Contract,"$29,447 ",Definitive Contract,Final,955F9531CB22C0014,P00004,OTHER ADMINISTRATIVE ACTION,7/5/24,955F,9531CB,CONSUMER FINANCE PROTECTION BUREA,ZMZTDFBML6U6,"PLANNING, ARRANGEMENTS, LOGISTI",DISTRICT OF COLUMBIA 98,200023023,Partnership or Limited Liability Partnership,"Minority-Owned Business
Black American Owned
Women-Owned Business
Women-Owned Small Business","DoT Certified Disadvantaged Business Enterprise
Self-Certified Small Disadvantaged Business",R699,SUPPORT- ADMINISTRATIVE: OTHER,624120,SERVICES FOR THE ELDERLY AND PERSONS WITH D,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB22C0014&modNumber=P00004&idvAgencyID=&idvPIID=&contractType=AWARD
2/14/25,CONSUMER FINANCIAL PROTECTION BUREAU,Econometrics Expert,"$21,900 ",Definitive Contract,Final,955F9531CB21C0028,0,,8/16/21,955F,9531CB,CONSUMER FINANCE PROTECTION BUREA,QL1MLKNWX3R3,"HASTAK, MANOJ",VIRGINIA 10,201702561,Sole Proprietorship,"Minority-Owned Business
Subcontinent Asian (Asian-Indian) American Owned",Self-Certified Small Disadvantaged Business,R424,SUPPORT- PROFESSIONAL: EXPERT WITNESS,541199,ALL OTHER LEGAL SERVICES,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB21C0028&modNumber=0&idvAgencyID=&idvPIID=&contractType=AWARD
2/14/25,CONSUMER FINANCIAL PROTECTION BUREAU,OHC Harassment Investigations Task Order FY 24,"$21,750 ",Delivery/Task Order,Final,955F9531CB24F0070,0,,7/22/24,955F,9531CB,CONSUMER FINANCE PROTECTION BUREA,XQAGNB2JQ8L8,"BUSINESS DECISIONS INFORMATION,",GEORGIA 05,303316304,"Corporate Entity, Not Tax Exempt","Minority-Owned Business
Black American Owned",Self-Certified Small Disadvantaged Business,R431,SUPPORT- PROFESSIONAL: HUMAN RESOURCES,541612,HUMAN RESOURCES CONSULTING SERVICES (2007),https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB24F0070&modNumber=0&idvAgencyID=&idvPIID=9531CB22D0007&contractType=AWARD
