Date Updated,Agency,Contracting Office Agency ID,Agency Office Name,Agency Office ID,Funding Agency Name,Funding Agency ID,Funding Office Name,Funding Office ID,Contract Date Signed,Award Status,Award Type,Modification Number,Procurement Identifier,Modification Reason, Ceiling Value , Value ,NAICS Code,NAICS Description,Performance Start Date,Product/Service Code,Product/Service Description,Description of Requirements,Vendor Entity ID,Vendor Legal Business Name,Vendor Business Types,Vendor Certifications,Congressional District,Vendor Socio-Economic Data,Vendor Zip+4,FPDS Source
2/28/25,Department of Health and Human Services,7530,OFC OF ACQUISITION AND GRANTS MGMT,75FCMC,CENTERS FOR MEDICARE AND MEDICAID,7530,OFC OF ACQUISITION AND GRANTS MGMT,75FCMC,2/27/25,Final,Delivery/Task Order,P00009,75FCMC19F0080,CLOSE OUT," $5,304,198.00 ", $-   ,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MAN,8/12/19,R499,SUPPORT- PROFESSIONAL: OTHER,"The purpose of this modification is to close this physically
complete task order in accordance with FAR 4.804-5.",XVMTJF1497P1,"ACUMEN, LLC",Partnership or Limited Liability Partnership,,CALIFORNIA 15,,940101980,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7530&PIID=75FCMC19F0080&modNumber=P00009&idvAgencyID=&idvPIID=GS10F0133S&contractType=AWARD
2/24/25,Department of Health and Human Services,7530,OFC OF ACQUISITION AND GRANTS MGMT,75FCMC,CENTERS FOR MEDICARE AND MEDICAID,7530,OFC OF ACQUISITION AND GRANTS MGMT,75FCMC,1/27/25,Final,Delivery/Task Order,P00007,7530,CLOSE OUT," $9,302,407.00 ", $-   ,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MAN,9/18/20,Q101,MEDICAL- DEPENDENT MEDICARE,"The purpose of this modification is to close this physically
complete task order in accordance with FAR 4.804-5.",KU3WDZJ9JFY4,RAINMAKERS STRATEGIC SOLUTIONS,"Corporate Entity, Not Tax Exempt","SBA Certified 8(a) Program Participant
DoT Certified Disadvantaged Business Enterprise
Self-Certified Small Disadvantaged Business
SBA-Certified Women-Owned Small Business
SBA-Certified Economically Disadvantaged Women-Owned Small
Business",ARIZONA 08,"Minority-Owned Business
Black American Owned
Women-Owned Business
Women-Owned Small Business",850231268,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7530&PIID=75FCMC20F0096&modNumber=P00007&idvAgencyID=&idvPIID=GS10F053BA&contractType=AWARD
2/18/25,Department of Health and Human Services,7530,OFC OF ACQUISITION AND GRANTS MGMT,75FCMC,CENTERS FOR MEDICARE AND MEDICAID,7530,OFC OF ACQUISITION AND GRANTS MGMT,75FCMC,1/28/25,Final,Delivery/Task Order,P00013,75FCMC18F0004,CLOSE OUT," $66,089,791.00 ", $-   ,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MAN,12/27/17,R499,SUPPORT- PROFESSIONAL: OTHER,Stakeholder Training and Program Support,CLRVPJYP28K5,A. REDDIX & ASSOCIATES INC.,"Corporate Entity, Not Tax Exempt",,VIRGINIA 03,SBA Certified 8(a) Program Participant,235171955,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7530&PIID=75FCMC18F0004&modNumber=P00013&idvAgencyID=&idvPIID=GS10F0069X&contractType=AWARD
2/7/25,Department of Health and Human Services,7523,CDC OFFICE OF ACQUISITION SERVICES,75D301,CENTERS FOR DISEASE CONTROL AND PR,7523,CDC OFFICE OF ACQUISITION SERVICES,75D301,2/21/25,Final,Purchase Order,P00003,75D30124P18978,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL)," $48,675.00 "," $4,658.00 ",513110,NEWSPAPER PUBLISHERS,5/2/24,7630,NEWSPAPERS AND PERIODICALS,Politico Subscription Renewal,T8JGE1LE8933,"POLITICO, LLC",Partnership or Limited Liability Partnership,,VIRGINIA 08,,222093927,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7523&PIID=75D30124P18978&modNumber=P00003&idvAgencyID=&idvPIID=&contractType=AWARD
2/7/25,Department of Health and Human Services,7524,FDA OFFICE OF ACQ GRANT SVCS,75F401,FOOD AND DRUG ADMINISTRATION,7524,FDA OFFICE OF ACQ GRANT SVCS,75F401,1/23/25,Final,Definitive Contract,P00006,75F40122C00207,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL)," $4,500,000.00 "," $5,442.00 ",611430,PROFESSIONAL AND MANAGEMENT DEVELOPMENT,9/29/22,U099,EDUCATION/TRAINING- OTHER,"Health Outreach and Research to Improve Health Equity for Racial
(Limit 250 characters) and Ethnic Minorities and Tribal Populations
Current: 109",ZA4KHNKGQRJ4,POOKELA SOLUTIONS LLC,"Corporate Entity, Not Tax Exempt
Limited Liability Corporation
For Profit Organization","SBA Certified 8(a) Program Participant
Self-Certified Small Disadvantaged Business",FLORIDA 10,"Minority-Owned Business
Native Hawaiian Organization Owned Firm
Individual or concern, other than one of the preceding
All Awards",328263283,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7524&PIID=75F40122C00207&modNumber=P00006&idvAgencyID=&idvPIID=&contractType=AWARD
2/24/25,Department of Health and Human Services,7590,ACF OFFICE OF GOVERNMENT CONTRACT,75ACF1,ADMINISTRATION FOR CHILDREN AND FAM,7590,ADMIN FOR CHILDREN FAMILIES (ACF),759001,2/20/25,Final,BPA Call,P00005,75ACF122F59003,CLOSE OUT," $3,953,514.00 "," $6,642.00 ",541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MAN,7/1/22,R499,SUPPORT- PROFESSIONAL: OTHER,"The purpose of this modification is to de-obligate $6,642.25 in
excess funds from CLINs 0001 and also close out this task order.",CKV2L9GZKJK3,DELOITTE CONSULTING LLP,Partnership or Limited Liability Partnership,,VIRGINIA 08,,222091742,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7590&PIID=75ACF122F59003&modNumber=P00005&idvAgencyID=&idvPIID=75ACF121A00005&contractType=AWARD
2/7/25,Department of Health and Human Services,7524,FDA OFFICE OF ACQ GRANT SVCS,75F401,FOOD AND DRUG ADMINISTRATION,7524,FDA OFFICE OF ACQ GRANT SVCS,75F401,2/26/25,Final,BPA Call,P00001,75F40125F19007,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL)," $49,108.00 "," $33,158.00 ",541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MAN,12/20/24,R425,SUPPORT- PROFESSIONAL: ENGINEERING/TECHNICA,Professional and Scientific Support AD-HOC Toxicologists,FDHJCNNVUY53,"TUNNELL CONSULTING, INC.","Corporate Entity, Not Tax Exempt",,PENNSYLVANIA 06,,193122413,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7524&PIID=75F40125F19007&modNumber=P00001&idvAgencyID=&idvPIID=75F40121A00040&contractType=AWARD
2/26/25,Department of Health and Human Services,7526,HRSA HEADQUARTERS,75R602,HEALTH RESOURCES AND SERVICES ADM,7526,HRSA HEADQUARTERS,75R602,2/27/25,Final,Purchase Order,P00001,75R60224P00032,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL)," $49,601.00 "," $49,601.00 ",541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MAN,9/27/24,R408,SUPPORT- PROFESSIONAL: PROGRAM MANAGEMEN,IEA195 C 5431. HRSA Annual Tribal Consultation Meeting.,EQVNLSP8CLA4,MIAMI ENVIRONMENTAL & ENERGY SO,OTHER,"SBA Certified 8(a) Program Participant
Self-Certified Small Disadvantaged Business",VIRGINIA 11,"Minority-Owned Business
Native American Owned
Indian Tribe (Federally Recognized)
Tribally Owned Firm",201911414,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7526&PIID=75R60224P00032&modNumber=P00001&idvAgencyID=&idvPIID=&contractType=AWARD
2/13/25,Department of Health and Human Services,7523,CDC OFFICE OF ACQUISITION SERVICES,75D301,CENTERS FOR DISEASE CONTROL AND PR,7523,CDC OFFICE OF ACQUISITION SERVICES,75D301,2/20/25,Final,Purchase Order,P00002,75D30124P00071,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL)," $56,370.00 "," $49,809.00 ",541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MAN,8/26/24,DB02,"IT AND TELECOM - COMPUTE SUPPORT SERVICES, N","To conduct exit interviews on departing staff from the Division of
(Limit 250 characters) Global HIV and TB. Quote from RFQ#2024-00231",UCESS4SJ6GY1,"PEERS AND PARTNERS, INC.","Corporate Entity, Not Tax Exempt","SBA Certified 8(a) Program Participant
Self-Certified Small Disadvantaged Business",GEORGIA 04,"Minority-Owned Business
Black American Owned",300586199,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7523&PIID=75D30124P00071&modNumber=P00002&idvAgencyID=&idvPIID=&contractType=AWARD
2/7/25,Department of Health and Human Services,7523,CDC OFFICE OF ACQUISITION SERVICES,75D301,CENTERS FOR DISEASE CONTROL AND PR,7523,CDC OFFICE OF ACQUISITION SERVICES,75D301,2/21/25,Final,Purchase Order,P00001,75D30124P18530,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL)," $68,125.00 "," $56,400.00 ",513110,NEWSPAPER PUBLISHERS,2/26/24,7630,NEWSPAPERS AND PERIODICALS,Politico Pro Subscription,T8JGE1LE8933,"POLITICO, LLC",Partnership or Limited Liability Partnership,Self-Certified Small Disadvantaged Business,VIRGINIA 08,,222093927,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7523&PIID=75D30124P18530&modNumber=P00001&idvAgencyID=&idvPIID=&contractType=AWARD
2/10/25,Department of Health and Human Services,7524,FDA OFFICE OF ACQ GRANT SVCS,75F401,FOOD AND DRUG ADMINISTRATION,7524,FDA OFFICE OF ACQ GRANT SVCS,75F401,1/23/25,Final,Delivery/Task Order,P00007,75F40121F80053,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL)," $318,339.00 "," $77,065.00 ",541612,HUMAN RESOURCES CONSULTING SERVICES (2007),4/9/21,R699,SUPPORT- ADMINISTRATIVE: OTHER,Interns - June through August,GT89MK46MF23,HISPANIC ASSOCIATION OF COLLEGES,"Corporate Entity, Tax Exempt",,TEXAS 20,,782295344,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7524&PIID=75F40121F80053&modNumber=P00007&idvAgencyID=&idvPIID=GS02F0110Y&contractType=AWARD
2/26/25,Department of Health and Human Services,7526,HRSA HEADQUARTERS,75R602,HEALTH RESOURCES AND SERVICES ADM,7526,HRSA HEADQUARTERS,75R602,2/27/25,Final,Purchase Order,P00001,75R60224P00033,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL)," $997,776.00 "," $89,799.00 ",541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MAN,9/27/24,R408,SUPPORT- PROFESSIONAL: PROGRAM MANAGEMEN,IEA195 C 5432. HRSA Annual Tribal Advisory Council meeting,EQVNLSP8CLA4,MIAMI ENVIRONMENTAL & ENERGY SO,"For Profit Organization
Limited Liability Corporation","SBA Certified 8(a) Program Participant
Self-Certified Small Disadvantaged Business",VIRGINIA 11,"Minority-Owned Business
Native American Owned
Indian Tribe (Federally Recognized)
Tribally Owned Firm",201911414,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7526&PIID=75R60224P00033&modNumber=P00001&idvAgencyID=&idvPIID=&contractType=AWARD
2/6/25,Department of Health and Human Services,7524,FDA OFFICE OF ACQ GRANT SVCS,75F401,FOOD AND DRUG ADMINISTRATION,7524,FDA OFFICE OF ACQ GRANT SVCS,75F401,2/5/25,Final,Purchase Order,P00005,75F40120P00453,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL)," $616,159.00 "," $98,304.00 ",511110,NEWSPAPER PUBLISHERS,7/30/20,7630,NEWSPAPERS AND PERIODICALS,"POLITICO PRO Subscription for 49 total user licenses (40 to OL, 9
to OCA)",T8JGE1LE8933,"POLITICO, LLC",Partnership or Limited Liability Partnership,,VIRGINIA 08,,222093927,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7524&PIID=75F40120P00453&modNumber=P00005&idvAgencyID=&idvPIID=&contractType=AWARD
2/20/25,Department of Health and Human Services,7524,FDA OFFICE OF ACQ GRANT SVCS,75F401,FOOD AND DRUG ADMINISTRATION,7524,FDA OFFICE OF ACQ GRANT SVCS,75F401,2/19/25,Final,Delivery/Task Order,P00002,7524 75F40124F80185,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL)," $280,069.00 "," $144,212.00 ",541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MAN,7/2/24,R406,SUPPORT- PROFESSIONAL: POLICY REVIEW/DEVELO,"Center for Devices and Radiological Health (CDRH) - ISO Audit of
(Limit 250 characters) CDRH Quality Management System Support services
Current: 112",KX69MF4XYYB6,"BRAND CONSULTING GROUP, INC.","Corporate Entity, Not Tax Exempt",,WYOMING 00,,828015777,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7524&PIID=75F40124F80185&modNumber=P00002&idvAgencyID=&idvPIID=GS00F359GA&contractType=AWARD
2/7/25,Department of Health and Human Services,7524,FDA OFFICE OF ACQ GRANT SVCS,75F401,FOOD AND DRUG ADMINISTRATION,7524,FDA OFFICE OF ACQ GRANT SVCS,75F401,2/5/25,Final,Delivery/Task Order,P00004,75F40124F80040,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL)," $252,745.00 "," $151,647.00 ",611430,PROFESSIONAL AND MANAGEMENT DEVELOPMENT,2/16/24,R499,SUPPORT- PROFESSIONAL: OTHER,Media Training Services FDA Office of Media Affairs,PW5JPKSCR9R5,SUSAN PETERSON PRODUCTIONS INC,"Corporate Entity, Not Tax Exempt",,DISTRICT OF COLUMBIA 98,"Women-Owned Business
Women-Owned Small Business",200061202,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7524&PIID=75F40124F80040&modNumber=P00004&idvAgencyID=&idvPIID=47QRAA20D002N&contractType=AWARD
2/18/25,Department of Health and Human Services,7523,CDC OFFICE OF ACQUISITION SERVICES,75D301,CENTERS FOR DISEASE CONTROL AND PR,7523,CDC OFFICE OF ACQUISITION SERVICES,75D301,2/21/25,Final,Purchase Order,P00007,75D30121P11779,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL)," $716,363.00 "," $151,865.00 ",541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MAN,7/18/21,R499,SUPPORT- PROFESSIONAL: OTHER,Executive Assistant Services,MG75EJJPLFZ7,RED CARROT INC,"Corporate Entity, Not Tax Exempt
For Profit Organization
Subchapter S Corporation","SBA Certified 8(a) Program Participant
DoT Certified Disadvantaged Business Enterprise
Self-Certified Small Disadvantaged Business",FLORIDA 26,"Minority-Owned Business
Hispanic American Owned
Women-Owned Business
Women-Owned Small Business",331312619,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7523&PIID=75D30121P11779&modNumber=P00007&idvAgencyID=&idvPIID=&contractType=AWARD
1/27/25,Department of Health and Human Services,7590,ACF OFFICE OF GOVERNMENT CONTRACT,75ACF1,ADMINISTRATION FOR CHILDREN AND FAM,7590,ADMIN FOR CHILDREN FAMILIES (ACF),759001,1/23/25,Final,Delivery/Task Order,P00004,75ACF123F80062,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL)," $866,897.00 "," $170,033.00 ",541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MAN,9/30/23,R410,SUPPORT- PROFESSIONAL: PROGRAM EVALUATION/,"The purpose of this unilateral modification is to provide official
(Limit 250 characters)
notice and to terminate this contract in its entirety, under the
authority of FAR 52.212-4 (l) Termination for the Government's",JPBAJRKKMW26,"JAMES BELL ASSOCIATES, INC.","Corporate Entity, Not Tax Exempt",,VIRGINIA 08,,222012683,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7590&PIID=75ACF123F80062&modNumber=P00004&idvAgencyID=&idvPIID=47QRAA20D0008&contractType=AWARD
2/28/25,Department of Health and Human Services,7524,FDA OFFICE OF ACQ GRANT SVCS,75F401,FOOD AND DRUG ADMINISTRATION,7524,FDA OFFICE OF ACQ GRANT SVCS,75F401,2/26/25,Final,Definitive Contract,P00002,75F40123C00090,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL)," $878,780.00 "," $181,280.00 ",541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MAN,8/2/23,B529,SPECIAL STUDIES/ANALYSIS- SCIENTIFIC DATA,Materials Performance Study Extension,JHWRXX6LEVP8,EMERGENCY CARE RESEARCH INSTIT,"Corporate Entity, Tax Exempt",,PENNSYLVANIA 04,Non Profit Organization,194621203,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7524&PIID=75F40123C00090&modNumber=P00002&idvAgencyID=&idvPIID=&contractType=AWARD
2/6/25,Department of Health and Human Services,7524,FDA OFFICE OF ACQ GRANT SVCS,75F401,FOOD AND DRUG ADMINISTRATION,7524,FDA OFFICE OF ACQ GRANT SVCS,75F401,2/5/25,Final,Delivery/Task Order,P00002,75F40124F80165,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL)," $275,625.00 "," $225,750.00 ",519290,WEB SEARCH PORTALS AND ALL OTHER INFORMATIO,6/17/24,R612,SUPPORT- ADMINISTRATIVE: INFORMATION RETRIEV,Politico Pro Plus Subscription,T8JGE1LE8933,POLITICO LLC,Partnership or Limited Liability Partnership,,VIRGINIA 08,,222093927,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7524&PIID=75F40124F80165&modNumber=P00002&idvAgencyID=&idvPIID=03310323D0056&contractType=AWARD
2/7/25,Department of Health and Human Services,7529,NATIONAL INSTITUTES OF HEALTH OLAO,75N980,NATIONAL INSTITUTES OF HEALTH,7529,NATIONAL INSTITUTES OF HEALTH OLAO,75N980,2/7/25,Final,Purchase Order,P00006,75N98022P01762,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL)," $514,995.00 "," $261,714.00 ",519130,INTERNET PUBLISHING AND BROADCASTING AND W,5/17/22,7630,NEWSPAPERS AND PERIODICALS,Correction to Period of Performance End Date,KG5PWYBKVCA5,BUREAU OF NATIONAL AFFAIRS INC,"Corporate Entity, Not Tax Exempt",,,,22202,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7529&PIID=75N98022P01762&modNumber=P00006&idvAgencyID=&idvPIID=&contractType=AWARD
2/18/25,Department of Health and Human Services,7529,NATIONAL INSTITUTES OF HEALTH OLAO,75N980,NATIONAL INSTITUTES OF HEALTH,7529,NATIONAL INSTITUTES OF HEALTH OLAO,75N980,2/13/25,Final,Delivery/Task Order,P00004,75N98022F00173,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL)," $802,722.00 "," $296,111.00 ",541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MAN,9/1/22,R499,SUPPORT- PROFESSIONAL: OTHER,"NIH Biomedical Research Advanced Information Network (BRAIN)
(Limit 250 characters)
Operation & Maintenance Support (O&M) Services",KXR5HV5MSB96,CORNER ALLIANCE INCORPORATED,"Corporate Entity, Not Tax Exempt
For Profit Organization",,DISTRICT OF COLUMBIA 98,,200115125,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7529&PIID=75N98022F00173&modNumber=P00004&idvAgencyID=&idvPIID=GS10F0283W&contractType=AWARD
2/24/25,Department of Health and Human Services,7523,CDC OFFICE OF ACQUISITION SERVICES,75D301,CENTERS FOR DISEASE CONTROL AND PR,7523,CDC OFFICE OF ACQUISITION SERVICES,75D301,2/21/25,Final,Delivery/Task Order,P00001,75D30124F19235,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL)," $548,848.00 "," $314,228.00 ",541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MAN,9/25/24,R499,SUPPORT- PROFESSIONAL: OTHER,"Exploratory Evaluation of Community-Based Interventions for (CVD)
Hypertension",NVUWAFWQ57S5,"WESTAT, INC.","Corporate Entity, Tax Exempt",,MARYLAND 08,,208503129,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7523&PIID=75D30124F19235&modNumber=P00001&idvAgencyID=&idvPIID=GS00F009DA&contractType=AWARD
2/7/25,Department of Health and Human Services,7526,HRSA HEADQUARTERS,75R602,HEALTH RESOURCES AND SERVICES ADM,7526,HRSA HEADQUARTERS,75R602,2/6/25,Final,Delivery/Task Order,P00008,75R60223F80033,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL)," $706,825.00 "," $343,690.00 ",519190,ALL OTHER INFORMATION SERVICES,2/21/23,DA10,IT AND TELECOM - BUSINESS APPLICATION/APPLICA,OL55-C-5315. Purchase HRSA-Wide Politico Subscriptions.,T8JGE1LE8933,"POLITICO, LLC",Partnership or Limited Liability Partnership,,VIRGINIA 08,,222093927,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7526&PIID=75R60223F80033&modNumber=P00008&idvAgencyID=&idvPIID=03310319D0071&contractType=AWARD
2/7/25,Department of Health and Human Services,7523,CDC OFFICE OF ACQUISITION SERVICES,75D301,CENTERS FOR DISEASE CONTROL AND PR,7523,CDC OFFICE OF ACQUISITION SERVICES,75D301,2/19/25,Final,Definitive Contract,P00003,75D30124C18340,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL)," $583,758.00 "," $360,561.00 ",561110,OFFICE ADMINISTRATIVE SERVICES,1/2/24,R699,SUPPORT- ADMINISTRATIVE: OTHER,Administrative Support Services,LKBKD8TRFMM6,"SYNERGY AMERICA, INC.","Corporate Entity, Not Tax Exempt","SBA Certified 8(a) Program Participant
DoT Certified Disadvantaged Business Enterprise
Self-Certified Small Disadvantaged Business
SBA-Certified Women-Owned Small Business
SBA-Certified Economically Disadvantaged Women-Owned Small
Business",GEORGIA 07,"Minority-Owned Business
Subcontinent Asian (Asian-Indian) American Owned
Women-Owned Business
Women-Owned Small Business",300974329,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7523&PIID=75D30124C18340&modNumber=P00003&idvAgencyID=&idvPIID=&contractType=AWARD
2/26/25,Department of Health and Human Services,7526,HRSA HEADQUARTERS,75R602,HEALTH RESOURCES AND SERVICES ADM,7526,HRSA HEADQUARTERS,75R602,2/26/25,Final,Delivery/Task Order,P00003,75R60224F34007,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL)," $544,921.00 "," $372,656.00 ",541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MAN,10/28/23,R410,SUPPORT- PROFESSIONAL: PROGRAM EVALUATION/,HAB86 C 5994 HIV eCQM Annual Support,T41EGEAK2L35,"MATHEMATICA POLICY RESEARCH, INC","For Profit Organization
Subchapter S Corporation",,NEW JERSEY 12,,085406346,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7526&PIID=75R60224F34007&modNumber=P00003&idvAgencyID=&idvPIID=75R60219D00014&contractType=AWARD
2/20/25,Department of Health and Human Services,7570,PROGRAM SUPPORT CENTER ACQ MGMT,75P001,OFFICE OF THE ASSISTANT SECRETARY F,7570,PROGRAM SUPPORT CENTER ACQ MGMT,75P001,2/19/25,Final,Purchase Order,P00004,757075P00120P00017,CLOSE OUT," $463,000.00 "," $414,683.00 ",541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MAN,1/13/20,R799,SUPPORT- MANAGEMENT: OTHER,Expert Witness Support - For Security Rule Expertise,KGRCLBTHVXL7,"MEDITOLOGY SERVICES, LLC",Partnership or Limited Liability Partnership,,GEORGIA 04,,303412792,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7570&PIID=75P00120P00017&modNumber=P00004&idvAgencyID=&idvPIID=&contractType=AWARD
2/28/25,Department of Health and Human Services,7523,CDC OFFICE OF ACQUISITION SERVICES,75D301,CENTERS FOR DISEASE CONTROL AND PR,7523,CDC OFFICE OF ACQUISITION SERVICES,75D301,2/27/25,Final,Definitive Contract,P00001,7523 75D30124C18358,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL)," $615,917.00 "," $419,578.00 ",541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MAN,2/23/24,R499,SUPPORT- PROFESSIONAL: OTHER,SEESB Program Support,TJZNT7D682L7,"COPIAL BUSINESS STRATEGISTS, LLC","Corporate Entity, Not Tax Exempt","SBA Certified 8(a) Program Participant
Self-Certified Small Disadvantaged Business",GEORGIA 04,"Minority-Owned Business
Black American Owned
Women-Owned Business
Women-Owned Small Business",303387731,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7523&PIID=75D30124C18358&modNumber=P00001&idvAgencyID=&idvPIID=&contractType=AWARD
2/7/25,Department of Health and Human Services,7524,FDA OFFICE OF ACQ GRANT SVCS,75F401,FOOD AND DRUG ADMINISTRATION,7524,FDA OFFICE OF ACQ GRANT SVCS,75F401,2/5/25,Final,BPA Call,P00001,75F40125F19013,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL)," $605,823.00 "," $458,879.00 ",541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MAN,1/2/25,R799,SUPPORT- MANAGEMENT: OTHER,Termination for Convenience of the Government,PEGRG88NN3T8,"EAGLE HILL CONSULTING, LLC","Corporate Entity, Not Tax Exempt",,VIRGINIA 08,"Women-Owned Business
All Awards
For Profit Organization
Limited Liability Corporation",222023418,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7524&PIID=75F40125F19013&modNumber=P00001&idvAgencyID=&idvPIID=75F40123A00010&contractType=AWARD
2/13/25,Department of Health and Human Services,7523,CDC OFFICE OF ACQUISITION SERVICES,75D301,CENTERS FOR DISEASE CONTROL AND PR,7523,CDC OFFICE OF ACQUISITION SERVICES,75D301,2/21/25,Final,BPA Call,P00002,75D30123F18103,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL)," $926,717.00 "," $475,984.00 ",541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MAN,9/18/23,R499,SUPPORT- PROFESSIONAL: OTHER,Descope and exericse option year 1,JG1JX6NL39U7,GUIDEHOUSE LLP,"Corporate Entity, Not Tax Exempt",,VIRGINIA 11,,221024257,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7523&PIID=75D30123F18103&modNumber=P00002&idvAgencyID=&idvPIID=75D30121A10022&contractType=AWARD
2/7/25,Department of Health and Human Services,7523,CDC OFFICE OF ACQUISITION SERVICES,75D301,CENTERS FOR DISEASE CONTROL AND PR,7523,CDC OFFICE OF ACQUISITION SERVICES,75D301,2/24/25,Final,Purchase Order,P00003,75D30123P17848,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL)," $934,700.00 "," $590,780.00 ",513110,NEWSPAPER PUBLISHERS,9/8/23,7630,NEWSPAPERS AND PERIODICALS,CDC Library Politico Subscription,T8JGE1LE8933,POLITICO LLC,Partnership or Limited Liability Partnership,,VIRGINIA 08,,222093927,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7523&PIID=75D30123P17848&modNumber=P00003&idvAgencyID=&idvPIID=&contractType=AWARD
