Agency,Description,Uploaded On,Link,Value,basic_contract_info_idv_or_award_type,basic_contract_info_idv_or_award_status,basic_contract_info_procurement_identifier,basic_contract_info_modification_number,basic_contract_info_reason_for_modification,basic_contract_info_date_signed,agency_info_contracting_office_agency_id,agency_info_contracting_office_office_id,agency_info_contracting_office_office_name,agency_info_funding_office_agency_id,agency_info_funding_office_agency_name,agency_info_funding_office_office_id,agency_info_funding_office_office_name,contractor_info_unique_entity_id,contractor_info_legal_business_name,contractor_info_congressional_district,contractor_info_zip,contractor_info_business_types,contractor_info_socio_economic_data,contractor_info_certifications,contract_details_performance_start_date,contract_details_last_date_to_order,contract_details_major_program,contract_details_product_service_code,contract_details_product_service_description,contract_details_naics_code,contract_details_naics_description,contract_details_requirement_description,processing_error
CONSUMER FINANCIAL PROTECTION BUREAU,OFLEO/ENF FORECLOSURE DATA,2/14/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB24F0085&modNumber=P00001&idvAgencyID=&idvPIID=NNG15SD74B&contractType=AWARD,"$341,150 ",Delivery/Task Order,Final,955F9531CB24F0085,P00001,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/20/25,955F,9531CB,CONSUMER FINANCE PROTECTION BUREA,955F,CONSUMER FINANCIAL PROTECTION BUR,9531CB,CONSUMER FINANCE PROTECTION BUREA,EJJMMJHYDFH6,SOFTWARE INFORMATION RESOURCE,DISTRICT OF COLUMBIA 98,200372500,"Corporate Entity, Not Tax Exempt","Minority-Owned Business
Subcontinent Asian (Asian-Indian) American Owned
Women-Owned Business
Women-Owned Small Business",Self-Certified Small Disadvantaged Business,9/3/24,,,R402,SUPPORT- PROFESSIONAL: REAL ESTATE BROKERA,541519,OTHER COMPUTER RELATED SERVICES,OFLEO/ENF Foreclosure Data - Termination for Convenience - Full,
CONSUMER FINANCIAL PROTECTION BUREAU,MOBILE INTELLIGENCE DATA PLATFORM,2/14/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB23P0014&modNumber=P00003&idvAgencyID=&idvPIID=&contractType=AWARD,"$321,000 ",Purchase Order,Final,955F9531CB23P0014,P00003,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/20/25,955F,9531CB,CONSUMER FINANCE PROTECTION BUREA,955F,CONSUMER FINANCIAL PROTECTION BUR,9531CB,CONSUMER FINANCE PROTECTION BUREA,DRMDXFQJMTU7,"SOFTTHINK SOLUTIONS, INC",VIRGINIA 10,201753017,"Corporate Entity, Not Tax Exempt","Minority-Owned Business
Subcontinent Asian (Asian-Indian) American Owned
Women-Owned Business
Women-Owned Small Business","SBA Certified 8(a) Program Participant
SBA Certified HUBZone Firm
Self-Certified Small Disadvantaged Business",3/22/23,,MOBILE INTELLIGENC,7H20,IT AND TELECOM - PLATFORM PRODUCTS: DATABAS,541519,OTHER COMPUTER RELATED SERVICES,"Mobile Intelligence Data Platform - Termination for Convenience of
(Limit 250 characters)
the Government - Complete",
CONSUMER FINANCIAL PROTECTION BUREAU,MORTGAGE RATE LOCK DATA,2/14/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB24P0021&modNumber=P00001&idvAgencyID=&idvPIID=&contractType=AWARD,"$291,950 ",Purchase Order,Final,955F9531CB24P0021,P00001,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/24/25,955F,9531CB,CONSUMER FINANCE PROTECTION BUREA,955F,CONSUMER FINANCIAL PROTECTION BUR,9531CB,CONSUMER FINANCE PROTECTION BUREA,UJKDGD5MJ4R1,"OPTIMAL BLUE, LLC",TEXAS 04,750243357,"Corporate Entity, Not Tax Exempt",,,9/9/24,,,B506,SPECIAL STUDIES/ANALYSIS- DATA (OTHER THAN SC,518210,"COMPUTING INFRASTRUCTURE PROVIDERS, DATA P","Mortgage Rate Lock Data - Termination for the Government's
(Limit 250 characters)
Convenience - Full",
CONSUMER FINANCIAL PROTECTION BUREAU,COMPENSATION AND CONSULTING EXPERT,2/14/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB21C0027&modNumber=P00003&idvAgencyID=&idvPIID=&contractType=AWARD,"$288,210 ",Definitive Contract,Final,955F9531CB21C0027,P00003,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/20/25,955F,9531CB,CONSUMER FINANCE PROTECTION BUREA,955F,CONSUMER FINANCIAL PROTECTION BUR,9531CB,CONSUMER FINANCE PROTECTION BUREA,M8EJHX6AA3F1,"CRA INTERNATIONAL, INC.",MASSACHUSETTS 07,021165021,"Corporate Entity, Not Tax Exempt",,,7/29/21,,,R424,SUPPORT- PROFESSIONAL: EXPERT WITNESS,541199,ALL OTHER LEGAL SERVICES,Compensation and Consulting Expert - termination,
CONSUMER FINANCIAL PROTECTION BUREAU,EXPERT SERVICES,2/14/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB21C0026&modNumber=P00001&idvAgencyID=&idvPIID=&contractType=AWARD,"$279,000 ",Definitive Contract,Final,955F9531CB21C0026,P00001,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/21/25,955F,9531CB,CONSUMER FINANCE PROTECTION BUREA,955F,CONSUMER FINANCIAL PROTECTION BUR,9531CB,CONSUMER FINANCE PROTECTION BUREA,HMDGQXG79816,PAYMENT INNOVATION & REGULATION,GEORGIA 06,300624869,"For Profit Organization
Limited Liability Corporation",,,7/15/21,,,R424,SUPPORT- PROFESSIONAL: EXPERT WITNESS,541199,ALL OTHER LEGAL SERVICES,Termination for the Convenience of the Government,
CONSUMER FINANCIAL PROTECTION BUREAU,ACCURINT GOVERNMENT PLUS LICENSES,2/14/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343024F00048&modNumber=P00002&idvAgencyID=&idvPIID=03310323D0035&contractType=AWARD,"$270,900 ",Delivery/Task Order,Final,20343024F00048,P00002,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/12/25,2036,203430,ARC DIV PROC SVCS - CFPB,955F,CONSUMER FINANCIAL PROTECTION BUR,9531CB,CONSUMER FINANCE PROTECTION BUREA,LKAAJG8KK4U1,RELX INC,OHIO 10,453424425,"Corporate Entity, Not Tax Exempt",,,9/1/24,,,R612,SUPPORT- ADMINISTRATIVE: INFORMATION RETRIEV,519290,WEB SEARCH PORTALS AND ALL OTHER INFORMATIO,Accurint Government Plus Licenses,
CONSUMER FINANCIAL PROTECTION BUREAU,LEXISNEXIS LAW 360 SUBSCRIPTION RENEWAL,2/14/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343023F00045&modNumber=P00005&idvAgencyID=&idvPIID=03310319D0028&contractType=AWARD,"$266,418 ",Delivery/Task Order,Final,203620343023F00045,P00005,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/13/25,2036,203430,ARC DIV PROC SVCS - CFPB,955F,CONSUMER FINANCIAL PROTECTION BUR,9531CB,CONSUMER FINANCE PROTECTION BUREA,LKAAJG8KK4U1,RELX INC.,OHIO 10,453424425,"Corporate Entity, Not Tax Exempt",,,9/17/23,,,7A21,IT AND TELECOM - BUSINESS APPLICATION SOFTWA,519190,ALL OTHER INFORMATION SERVICES,LexisNexis Law 360 Subscription Renewal,
CONSUMER FINANCIAL PROTECTION BUREAU,VIRTUAL ANONYMOUS WORKSTATION,2/14/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB24C0013&modNumber=P00001&idvAgencyID=&idvPIID=&contractType=AWARD,"$243,341 ",Definitive Contract,Final,955F9531CB24C0013,P00001,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/21/25,955F,9531CB,CONSUMER FINANCE PROTECTION BUREA,955F,CONSUMER FINANCIAL PROTECTION BUR,9531CB,CONSUMER FINANCE PROTECTION BUREA,X1JJYEW4HAN9,FOUR LLC,VIRGINIA 11,201716354,"Partnership or Limited Liability Partnership
Limited Liability Corporation
For Profit Organization",,,3/28/24,,,7A20,IT AND TELECOM - APPLICATION DEVELOPMENT SOF,541519,OTHER COMPUTER RELATED SERVICES,Virtual Anonymous Workstation - Termination for Convenience,
CONSUMER FINANCIAL PROTECTION BUREAU,AITE GROUP RESEARCH SERVICES,2/14/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343022P00011&modNumber=P00005&idvAgencyID=&idvPIID=&contractType=AWARD,"$241,235 ",Purchase Order,Final,2036 20343022P00011,P00005,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/12/25,2036,203430,ARC DIV PROC SVCS - CFPB,955F,CONSUMER FINANCIAL PROTECTION BUR,9531CB,CONSUMER FINANCE PROTECTION BUREA,LL1JYJBML278,AITE GROUP LLC,MASSACHUSETTS 14,021101130,"Partnership or Limited Liability Partnership
For Profit Organization
Limited Liability Corporation",,,9/19/22,,,7A21,IT AND TELECOM - BUSINESS APPLICATION SOFTWA,519130,INTERNET PUBLISHING AND BROADCASTING AND W,AITE Group Research Services,
CONSUMER FINANCIAL PROTECTION BUREAU,BARRIER ANALYSIS SERVICES,2/14/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB24F0078&modNumber=P00001&idvAgencyID=&idvPIID=9531CB24A0007&contractType=AWARD,"$218,804 ",BPA Call,Final,955F 9531CB24F0078,P00001,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/21/25,955F,9531CB,CONSUMER FINANCE PROTECTION BUREA,955F,CONSUMER FINANCIAL PROTECTION BUR,9531CB,CONSUMER FINANCE PROTECTION BUREA,PLSZM1MAB7Y8,"FEDERAL MANAGEMENT PARTNERS, L",VIRGINIA 08,222062283,"Corporate Entity, Not Tax Exempt",,,8/16/24,,,R799,SUPPORT- MANAGEMENT: OTHER,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MAN,Barrier Analysis Services - Termination for Convenience,
CONSUMER FINANCIAL PROTECTION BUREAU,NEW EXPERT CONTRACT - WEB SURVEYS,2/14/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB21C0016&modNumber=P00002&idvAgencyID=&idvPIID=&contractType=AWARD,"$209,452 ",Definitive Contract,Final,955F9531CB21C0016,P00002,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/21/25,955F,9531CB,CONSUMER FINANCE PROTECTION BUREA,955F,CONSUMER FINANCIAL PROTECTION BUR,9531CB,CONSUMER FINANCE PROTECTION BUREA,KA5HQCLKUVW1,DOMESTIC AWARDEES (UNDISCLOSED,DISTRICT OF COLUMBIA 98,204050001,For Profit Organization,,,3/9/21,,,R424,SUPPORT- PROFESSIONAL: EXPERT WITNESS,541199,ALL OTHER LEGAL SERVICES,Expert Contract - Web Surveys - Termination for Convenience,
CONSUMER FINANCIAL PROTECTION BUREAU,ONSITE & VIRTUAL FEDERAL ACQUISITION TRAINING,2/14/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343020A00002&modNumber=P00001&idvAgencyID=&idvPIID=GS00F283GA&contractType=IDV,"$207,137 ",BPA,Final,20343020A00002,P00001,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/24/25,2036,203430,ARC DIV PROC SVCS - CFPB,955F,CONSUMER FINANCIAL PROTECTION BUR,9531CB,CONSUMER FINANCE PROTECTION BUREA,GMQFM999K2E5,"STAFFORD CONSULTING COMPANY, IN",VIRGINIA 11,221023470,"Corporate Entity, Not Tax Exempt","Service-Disabled Veteran-Owned Business
Veteran-Owned Business",,9/24/20,2/12/25,,U099,EDUCATION/TRAINING- OTHER,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MAN,Onsite Procurement Training,
CONSUMER FINANCIAL PROTECTION BUREAU,STUDENT LOAN EXPERT WITNESS/LITIGATION CONSULTANT SERVICES FOR OFFICE OF ENFORCEMENT,2/14/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB19C0009&modNumber=P00006&idvAgencyID=&idvPIID=&contractType=AWARD,"$191,789 ",Definitive Contract,Final,955F9531CB19C0009,P00006,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/20/25,955F,9531CB,CONSUMER FINANCE PROTECTION BUREA,955F,CONSUMER FINANCIAL PROTECTION BUR,9531CB,CONSUMER FINANCE PROTECTION BUREA,KA5HQCLKUVW1,DOMESTIC AWARDEES (UNDISCLOSED,DISTRICT OF COLUMBIA 98,204050001,For Profit Organization,,,5/15/19,,,R418,SUPPORT- PROFESSIONAL: LEGAL,541720,RESEARCH AND DEVELOPMENT IN THE SOCIAL SCIE,Termination,
CONSUMER FINANCIAL PROTECTION BUREAU,PROQUEST DIGITAL CONTENT,2/14/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343024F00009&modNumber=P00002&idvAgencyID=&idvPIID=03310323D0024&contractType=AWARD,"$170,492 ",Delivery/Task Order,Final,20343024F00009,P00002,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/13/25,2036,203430,ARC DIV PROC SVCS - CFPB,955F,CONSUMER FINANCIAL PROTECTION BUR,9531CB,CONSUMER FINANCE PROTECTION BUREA,J1RFEVPBPU43,PROQUEST LLC,MICHIGAN 06,481083218,"Corporate Entity, Not Tax Exempt",,,2/1/24,,,R612,SUPPORT- ADMINISTRATIVE: INFORMATION RETRIEV,519290,WEB SEARCH PORTALS AND ALL OTHER INFORMATIO,ProQuest Digital Content,
CONSUMER FINANCIAL PROTECTION BUREAU,LEGAL SUPPORT SERVICES - PARALEGAL SERVICES - OCR,2/14/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB24F0035&modNumber=P00002&idvAgencyID=&idvPIID=9531CB21D0004&contractType=AWARD,"$157,560 ",Delivery/Task Order,Final,955F9531CB24F0035,P00002,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/20/25,955F,9531CB,CONSUMER FINANCE PROTECTION BUREA,955F,CONSUMER FINANCIAL PROTECTION BUR,9531CB,CONSUMER FINANCE PROTECTION BUREA,T3XMNLBJ6N33,"JURISOLUTIONS, INC.",PENNSYLVANIA 03,191021725,"Corporate Entity, Not Tax Exempt","Women-Owned Business
Women-Owned Small Business
For Profit Organization",Self-Certified Small Disadvantaged Business,4/29/24,,,R418,SUPPORT- PROFESSIONAL: LEGAL,541199,ALL OTHER LEGAL SERVICES,"Legal Support Services - Paralegal Services - Termination for
(Limit 250 characters)
Convenience of the Government -Full",
CONSUMER FINANCIAL PROTECTION BUREAU,ESRI ARCGIS ENTERPRISE LICENSE SUITE,2/14/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343024F00042&modNumber=P00001&idvAgencyID=&idvPIID=NNG15SD60B&contractType=AWARD,"$151,277 ",Delivery/Task Order,Final,20343024F00042,P00001,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/24/25,2036,203430,ARC DIV PROC SVCS - CFPB,955F,CONSUMER FINANCIAL PROTECTION BUR,9531CB,CONSUMER FINANCE PROTECTION BUREA,CGE8ABMZLZN9,"ADVANCED COMPUTER CONCEPTS, IN",VIRGINIA 11,221023317,"Corporate Entity, Not Tax Exempt","Women-Owned Business
Women-Owned Small Business",,7/5/24,,,7A21,IT AND TELECOM - BUSINESS APPLICATION SOFTWA,541519,OTHER COMPUTER RELATED SERVICES,ESRI ArcGIS Enterprise License Suite,
CONSUMER FINANCIAL PROTECTION BUREAU,NEW EXPERT WITNESS CONTRACT - BEHAVIORAL ECONOMIST,2/14/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB20C0010&modNumber=P00002&idvAgencyID=&idvPIID=&contractType=AWARD,"$151,000 ",Definitive Contract,Final,955F9531CB20C0010,P00002,CLOSE OUT,2/21/25,955F,9531CB,CONSUMER FINANCE PROTECTION BUREA,955F,CONSUMER FINANCIAL PROTECTION BUR,9531CB,CONSUMER FINANCE PROTECTION BUREA,KA5HQCLKUVW1,DOMESTIC AWARDEES (UNDISCLOSED,DISTRICT OF COLUMBIA 98,204050001,For Profit Organization,,,8/5/20,,,R418,SUPPORT- PROFESSIONAL: LEGAL,922130,LEGAL COUNSEL AND PROSECUTION,Closeout Mod.,
CONSUMER FINANCIAL PROTECTION BUREAU,TRANSLATION AND INTERPRETATION SERVICES BPA CALL - SUPERVISION EXAMINATIONS,2/14/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB25F0007&modNumber=P00001&idvAgencyID=&idvPIID=9531CB22A0001&contractType=AWARD,"$150,000 ",BPA Call,Final,955F9531CB25F0007,P00001,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/21/25,955F,9531CB,CONSUMER FINANCE PROTECTION BUREA,955F,CONSUMER FINANCIAL PROTECTION BUR,9531CB,CONSUMER FINANCE PROTECTION BUREA,JT4DBMHH58F3,HUMAN TOUCH TRANSLATIONS LTD.,NEW YORK 03,110303022,"Corporate Entity, Not Tax Exempt","Women-Owned Business
Women-Owned Small Business",,11/17/24,,,R608,SUPPORT- ADMINISTRATIVE: TRANSLATION AND INTE,541930,TRANSLATION AND INTERPRETATION SERVICES,"Translation and Interpretation Services BPA Call - Supervision
(Limit 250 characters)
Examinations - Termination for Convenience
Current: 105",
CONSUMER FINANCIAL PROTECTION BUREAU,CITRIX MAINTENANCE RENEWAL,2/14/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343024F00019&modNumber=P00001&idvAgencyID=&idvPIID=NNG15SD42B&contractType=AWARD,"$125,655 ",Delivery/Task Order,Final,2036 20343024F00019,P00001,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/24/25,2036,203430,ARC DIV PROC SVCS - CFPB,955F,CONSUMER FINANCIAL PROTECTION BUR,9531CB,CONSUMER FINANCE PROTECTION BUREA,HQAJMSZDK666,"ARCHITECHTURE SOLUTIONS, LLC",VIRGINIA 11,220300972,Partnership or Limited Liability Partnership,"Asian-Pacific American Owned
Service-Disabled Veteran-Owned Business
Veteran-Owned Business",Self-Certified Small Disadvantaged Business,2/29/24,,,7A20,IT AND TELECOM - APPLICATION DEVELOPMENT SOF,541519,OTHER COMPUTER RELATED SERVICES,Citrix Maintenance Renewal,
CONSUMER FINANCIAL PROTECTION BUREAU,NATIONAL INSTITUTE FOR TRIAL ADVOCACY (NITA) BPA ORDER,2/14/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343024F00014&modNumber=P00003&idvAgencyID=&idvPIID=20343023A00001&contractType=AWARD,"$123,195 ",BPA Call,Final,20343024F00014,P00003,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/12/25,2036,203430,ARC DIV PROC SVCS - CFPB,955F,CONSUMER FINANCIAL PROTECTION BUR,9531CB,CONSUMER FINANCE PROTECTION BUREA,X3PRZEUFX357,NATIONAL INSTITUTE FOR TRIAL ADVO,COLORADO 02,800271130,"Corporate Entity, Tax Exempt",,,8/1/24,,,U005,EDUCATION/TRAINING- TUITION/REGISTRATION/MEM,611430,PROFESSIONAL AND MANAGEMENT DEVELOPMENT,National Institute for Trial Advocacy (NITA) BPA Order,
CONSUMER FINANCIAL PROTECTION BUREAU,LINKEDIN RECRUITER LICENSES FOR THE OFFICE OF ENFORCEMENT INVESTIGATORS,2/14/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343022F00042&modNumber=P00004&idvAgencyID=&idvPIID=NNG15SD76B&contractType=AWARD,"$117,153 ",Delivery/Task Order,Final,20343022F00042,P00004,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/12/25,2036,203430,ARC DIV PROC SVCS - CFPB,955F,CONSUMER FINANCIAL PROTECTION BUR,9531CB,CONSUMER FINANCE PROTECTION BUREA,FBRMCGPMN963,ENTERPRISE TECHNOLOGY SOLUTION,MARYLAND 04,207401346,"Corporate Entity, Not Tax Exempt","Minority-Owned Business
Subcontinent Asian (Asian-Indian) American Owned
Women-Owned Business
Women-Owned Small Business",SBA Certified HUBZone Firm,6/20/22,,,7A21,IT AND TELECOM - BUSINESS APPLICATION SOFTWA,541519,OTHER COMPUTER RELATED SERVICES,"LinkedIn Recruiter Licenses for the Office of Enforcement
(Limit 250 characters)
Investigators
Current: 71",
CONSUMER FINANCIAL PROTECTION BUREAU,EXTERNAL TRAINING COURSES - AMA TALENT MANAGEMENT,2/14/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343022F00016&modNumber=P00003&idvAgencyID=&idvPIID=GS02F0092R&contractType=AWARD,"$110,250 ",Delivery/Task Order,Final,2036 20343022F00016,P00003,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/24/25,2036,203430,ARC DIV PROC SVCS - CFPB,955F,CONSUMER FINANCIAL PROTECTION BUR,9531CB,CONSUMER FINANCE PROTECTION BUREA,H56NAR9QFPD5,AMERICAN MANAGEMENT ASSOCIATIO,NEW YORK 12,100197434,Line Of Business,,,3/10/22,,,U005,EDUCATION/TRAINING- TUITION/REGISTRATION/MEM,611430,PROFESSIONAL AND MANAGEMENT DEVELOPMENT,External Training Courses - AMA Talent Management-,
CONSUMER FINANCIAL PROTECTION BUREAU,ARBITRATION SERVICES,2/14/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB23C0019&modNumber=P00001&idvAgencyID=&idvPIID=&contractType=AWARD,"$100,000 ",Definitive Contract,Final,955F9531CB23C0019,P00001,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/20/25,955F,9531CB,CONSUMER FINANCE PROTECTION BUREA,955F,CONSUMER FINANCIAL PROTECTION BUR,9531CB,CONSUMER FINANCE PROTECTION BUREA,GAHMANU8RPA7,IRA F JAFFE,MARYLAND 08,208542100,Sole Proprietorship,,,6/6/23,,,R424,SUPPORT- PROFESSIONAL: EXPERT WITNESS,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MAN,Arbitration Services - termination,
CONSUMER FINANCIAL PROTECTION BUREAU,LAWPROSE FY24 ADVANCED LEGAL WRITING & EDITING CLASSES,2/14/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343024P00005&modNumber=P00002&idvAgencyID=&idvPIID=&contractType=AWARD,"$97,590 ",Purchase Order,Final,2036 20343024P00005,P00002,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/12/25,2036,203430,ARC DIV PROC SVCS - CFPB,955F,CONSUMER FINANCIAL PROTECTION BUR,9531CB,CONSUMER FINANCE PROTECTION BUREA,XSQZDMCKW9T3,"LAWPROSE, INC.",TEXAS 24,752093337,"Corporate Entity, Not Tax Exempt","Minority-Owned Business
Asian-Pacific American Owned
Women-Owned Business
Women-Owned Small Business",,9/16/24,,,U009,EDUCATION/TRAINING- GENERAL,611430,PROFESSIONAL AND MANAGEMENT DEVELOPMENT,LawProse FY24 Advanced Legal Writing & Editing Classes,
CONSUMER FINANCIAL PROTECTION BUREAU,BEYONDTRUST LICENSES,2/14/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343024F00022&modNumber=P00002&idvAgencyID=&idvPIID=NNG15SD09B&contractType=AWARD,"$92,135 ",Delivery/Task Order,Final,2036 20343024F00022,P00002,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/13/25,2036,203430,ARC DIV PROC SVCS - CFPB,955F,CONSUMER FINANCIAL PROTECTION BUR,9531CB,CONSUMER FINANCE PROTECTION BUREA,TQ2KDQLRL8F1,BAHFED CORP,OREGON 01,972053063,"Corporate Entity, Not Tax Exempt","Minority-Owned Business
Subcontinent Asian (Asian-Indian) American Owned
Veteran-Owned Business","SBA Certified HUBZone Firm
DoT Certified Disadvantaged Business Enterprise
Self-Certified Small Disadvantaged Business",4/1/24,,,7A21,IT AND TELECOM - BUSINESS APPLICATION SOFTWA,541519,OTHER COMPUTER RELATED SERVICES,BeyondTrust Licenses- POP Change,
CONSUMER FINANCIAL PROTECTION BUREAU,PROVAR LICENSE RENEWAL,2/14/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343024F00016&modNumber=P00001&idvAgencyID=&idvPIID=NNG15SD06B&contractType=AWARD,"$72,154 ",Delivery/Task Order,Final,2036 20343024F00016,P00001,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/24/25,2036,203430,ARC DIV PROC SVCS - CFPB,955F,CONSUMER FINANCIAL PROTECTION BUR,9531CB,CONSUMER FINANCE PROTECTION BUREA,UYLVJZ49BFC6,"4 STAR TECHNOLOGIES, INC.",VIRGINIA 02,234515898,"Corporate Entity, Not Tax Exempt","Service-Disabled Veteran-Owned Business
Veteran-Owned Business",SBA Certified HUBZone Firm,3/21/24,,,7A21,IT AND TELECOM - BUSINESS APPLICATION SOFTWA,541519,OTHER COMPUTER RELATED SERVICES,Provar License renewal,
CONSUMER FINANCIAL PROTECTION BUREAU,ROSETTA STONE CATALYST BRONZE SOFTWARE,2/14/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343024F00025&modNumber=P00001&idvAgencyID=&idvPIID=47QTCA23D007Q&contractType=AWARD,"$56,544 ",Delivery/Task Order,Final,20343024F00025,P00001,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/24/25,2036,203430,ARC DIV PROC SVCS - CFPB,955F,CONSUMER FINANCIAL PROTECTION BUR,9531CB,CONSUMER FINANCE PROTECTION BUREA,DQ6RYNAB8MJ7,"THE WINVALE GROUP, LLC",VIRGINIA 01,232331318,"For Profit Organization
Subchapter S Corporation
Limited Liability Corporation",,,5/29/24,,,7A21,IT AND TELECOM - BUSINESS APPLICATION SOFTWA,334111,ELECTRONIC COMPUTER MANUFACTURING,Rosetta Stone Catalyst Bronze Software,
CONSUMER FINANCIAL PROTECTION BUREAU,MAINTENANCE RENEWAL FOR MATLAB LICENSES,2/14/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343024F00043&modNumber=P00001&idvAgencyID=&idvPIID=NNG15SC80B&contractType=AWARD,"$54,124 ",Delivery/Task Order,Final,20343024F00043,P00001,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/24/25,2036,203430,ARC DIV PROC SVCS - CFPB,955F,CONSUMER FINANCIAL PROTECTION BUR,9531CB,CONSUMER FINANCE PROTECTION BUREA,F1UZPBD1VBH9,"LYME COMPUTER SYSTEMS, INC.",NEW HAMPSHIRE 02,037662617,"Corporate Entity, Not Tax Exempt",For Profit Organization,,7/1/24,,,7A21,IT AND TELECOM - BUSINESS APPLICATION SOFTWA,541519,OTHER COMPUTER RELATED SERVICES,Maintenance Renewal for Matlab Licenses,
